fold,mae_mean,mse_mean,spearman_mean,r2_mean,mae_std,mse_std,spearman_std,r2_std,train_len,val_len,test_len,train_labels,val_labels,test_labels
0,0.9381126546120967,1.775007044451732,0.6432566997773843,0.3008989378873365,0.024761855951978752,0.09965541815493482,0.008682875676642313,0.039250102637714404,8497,1021,596,157,49,23
1,1.1039605505855876,2.309850629570855,0.4362997308719597,0.09218130895611727,0.13847202784810145,0.4094891246952755,0.07215613791803831,0.1609376279221293,8431,1087,596,159,47,23
2,0.9618785905029574,1.6052947987107462,0.5476907968446834,-0.026980122583941578,0.028266157620801927,0.09819840933978939,0.01776985817428374,0.06282199041716106,8489,1029,596,156,50,23
3,1.59758651361365,4.228191229186002,0.7332646823375585,0.3990227850079934,0.045514454287901,0.31952173444616894,0.01810447157069459,0.04541546767595991,8342,1177,595,158,49,22
4,0.8239090241288485,1.1987630754715142,0.7607898511969056,0.1641360942245896,0.056562989392059115,0.19578764532170942,0.033516009057155016,0.1365172395360985,8501,1017,596,157,51,21
5,0.9913633037431012,1.5479895381113076,0.5892342035412235,0.3361117129996373,0.052732341116629305,0.1558193815744473,0.034445232459146644,0.06682646088237156,8492,1027,595,159,49,21
6,1.1557342731188496,2.113990507473564,0.5432401472374246,-0.7089537315696821,0.04802888566901644,0.15456793291197318,0.04665349743711417,0.12495299519893041,8314,1205,595,158,49,22
7,1.0977877114579324,2.192949885505956,0.6952142280312184,0.3637678090266262,0.05145802272939483,0.15041191912061297,0.02606111904287278,0.04363843673907683,8495,1024,595,156,49,24
8,0.8485773293800042,1.3252416039522636,0.6269138786828613,0.021566648280979407,0.07880186247380913,0.29301644697674334,0.030161168671882232,0.21633569567182162,8397,1122,595,156,49,24
9,0.7300263141927518,1.1079863326108064,0.7408329077523576,0.43004078287744746,0.042029476712589144,0.12692270236393316,0.044199157695705656,0.0652903036303397,8383,1136,595,156,49,24
Overall Mean,1.0248936265335782,1.9405264645044749,0.6316737126273578,0.13717922251071035
Overall Std,0.2297208386585364,0.8590338418849524,0.09896836932260657,0.3211008614618974
