fold,mae_mean,mse_mean,spearman_mean,r2_mean,mae_std,mse_std,spearman_std,r2_std,train_len,val_len,test_len,train_labels,val_labels,test_labels
0,1.068492972630669,2.1892958511131346,0.6165292968409931,0.2436645863054113,0.056227389961114496,0.37081233058217855,0.015796293164435538,0.12810443015791084,8484,1034,596,153,52,22
1,1.337739289983818,2.916509464100531,0.2728252733621852,-0.7650885469022101,0.1202234891184092,0.4963513861538214,0.05091351780690209,0.3003947553481854,8496,1022,596,156,48,23
2,1.010988456813001,1.742747728397804,0.508023747353757,-0.013158126535869407,0.051027150130275284,0.1885555277818684,0.03410438075559421,0.10961802569732192,8499,1019,596,156,48,23
3,1.609712077642877,5.114328097436637,0.8118312709644415,0.37530198406345416,0.07968741459327751,0.6501796951618216,0.03332406066773303,0.07941726808129367,8483,1035,596,155,49,23
4,0.7092394895618612,0.892819259582572,0.7107490486423339,0.3529424045039809,0.0885815207375262,0.18503985361648603,0.0679758879672099,0.13410490585518725,8506,1013,595,155,50,22
5,1.0223850653396727,1.76652987064026,0.6477689864195116,0.2467383412621519,0.07248146086917069,0.27223701173186166,0.05147821930937663,0.11608391481806829,8482,1037,595,156,50,21
6,1.123165251671649,1.8188176712263402,0.4526002850993587,-0.09710824471704896,0.07137822940235743,0.23906732993326385,0.030092052646669632,0.14420507501196111,8493,1026,595,156,49,22
7,0.8778001224142404,1.6721479319696306,0.7698673411427311,0.4319963321213126,0.056680978316048757,0.20266267226049048,0.012734727456861949,0.06884148165674708,8505,1014,595,156,48,23
8,0.8832989361701893,1.2101629717007154,0.6850146258160121,0.2589060731776086,0.08813441291912227,0.19510323575996236,0.027883335057754553,0.1194796291956483,8400,1119,595,154,50,23
9,1.091228436610196,2.198952230421623,0.6000042500383069,0.06622567516372876,0.09231765422843893,0.3128457650122969,0.04036023326272321,0.13284842615532055,8411,1108,595,156,48,23
Overall Mean,1.0734050098838173,2.1522311076589244,0.6075214125679632,0.11004204784425198
Overall Std,0.23954806306293203,1.117738505852787,0.1524595767220898,0.3343026016503521
