fold,mae_mean,mse_mean,spearman_mean,r2_mean,mae_std,mse_std,spearman_std,r2_std,train_len,val_len,test_len,train_labels,val_labels,test_labels
0,1.060852450840826,1.8159649122035186,0.4913597694523295,-0.0644988671436532,0.02839090431759484,0.1584799480024585,0.03017153711935203,0.09289922067321059,8490,1028,596,157,49,23
1,1.1871890845281408,2.731747214622669,0.4002256521802757,-0.22761982374354064,0.13200682755239473,0.608914174045869,0.08318749852646909,0.27363992796104536,8414,1104,596,158,48,23
2,0.9947339697833654,1.9655921729032326,0.5507356048799521,0.20240086270627183,0.046326194692293036,0.140233578951903,0.00528777748703007,0.05690406338281455,8492,1026,596,157,49,23
3,1.6314109378863655,5.049429056494342,0.7397113443997249,0.40334901140560186,0.12786316757464558,0.696094192466216,0.06785478672948671,0.08225193055353752,8503,1016,595,159,48,22
4,1.095969352280769,2.1031295356618966,0.60346386523219,0.07122721015052602,0.10446199271142928,0.3184331791405813,0.050173628742672866,0.14062475332883195,8320,1198,596,158,50,21
5,0.9890426371716167,1.6851456607025124,0.5616865408292144,0.1183448163795305,0.04080753480860141,0.1541942923017093,0.036129231989769306,0.08067326182106888,8498,1021,595,160,48,21
6,1.1538316945887381,2.1804689540466264,0.618368549434423,-0.5288009789600773,0.04916900026164035,0.21290248678830137,0.031073673448992752,0.14927317796519757,8482,1037,595,157,50,22
7,1.014693325221359,1.9432127326732327,0.7008956348243413,0.38089939347933977,0.04270196739985632,0.20335334997049734,0.013913831666095885,0.0647876478925447,8492,1027,595,156,49,24
8,0.8312935126836518,1.2261827328994885,0.7615360691886971,0.31771448156528637,0.08030153844381828,0.27356992437413974,0.03721052996237031,0.15222266035208917,8430,1089,595,156,49,24
9,0.843362407716073,1.3428541412304387,0.6805782862347854,0.29185998801382745,0.07412583972512131,0.2296379212236673,0.04984742936994442,0.12109714323761538,8364,1155,595,155,50,24
Overall Mean,1.0802379372700905,2.2043727113437956,0.6108561316655934,0.09648760938531127
Overall Std,0.2143073705091788,1.0309238067457729,0.10819620524110046,0.2822139637460517
