fold,mae_mean,mse_mean,spearman_mean,r2_mean,mae_std,mse_std,spearman_std,r2_std,train_len,val_len,test_len,train_labels,val_labels,test_labels
0,1.0177632668067282,1.5966266419609803,0.5478190368389039,0.06407483966388428,0.0,0.0,0.0,0.0,8490,1028,596,157,49,23
1,1.1286478122402885,2.6298324363070322,0.43654792116825636,-0.18182034364414013,0.0,0.0,0.0,0.0,8414,1104,596,158,48,23
2,0.9656253875422627,1.7748814568461164,0.5531384465456405,0.27978756819724526,0.0,0.0,0.0,0.0,8492,1026,596,157,49,23
3,1.6690653865292793,5.345392624382154,0.7402220043552983,0.3683773436402985,0.0,0.0,0.0,0.0,8503,1016,595,159,48,22
4,0.9543451592053541,1.6597610163285106,0.6742272408963798,0.26702523858870364,0.0,0.0,0.0,0.0,8320,1198,596,158,50,21
5,1.0161042408928769,1.745312198490397,0.5348767151562831,0.08686614889207345,0.0,0.0,0.0,0.0,8498,1021,595,160,48,21
6,1.1030127695399983,2.0801408268120007,0.6414515175367597,-0.4584575150694894,0.0,0.0,0.0,0.0,8482,1037,595,157,50,22
7,1.0237365315669322,1.9677220322557691,0.7139027561979683,0.37309081854474113,0.0,0.0,0.0,0.0,8492,1027,595,156,49,24
8,0.8238404049317883,1.2187588899039208,0.7899642445400265,0.3218453345214616,0.0,0.0,0.0,0.0,8430,1089,595,156,49,24
9,0.9632527694523992,1.7527802816564861,0.608193092455474,0.07568974801385087,0.0,0.0,0.0,0.0,8364,1155,595,155,50,24
Overall Mean,1.0665393728707906,2.1771208404943367,0.6240342975690991,0.1196479181348629
Overall Std,0.21617639645068462,1.1111957224081446,0.10301335289911566,0.25407332506706987
