fold,mae_mean,mse_mean,spearman_mean,r2_mean,mae_std,mse_std,spearman_std,r2_std,train_len,val_len,test_len,train_labels,val_labels,test_labels
0,0.916394589712885,1.2787703648658346,0.5801972061536749,0.250398729849468,0.0,0.0,0.0,0.0,8490,1028,596,157,49,23
1,1.1007926032190225,2.0661914234545424,0.400117505323674,0.07147427935346395,0.0,0.0,0.0,0.0,8414,1104,596,158,48,23
2,0.9168385644126391,1.6224480867115458,0.6242441423099265,0.3416420699551206,0.0,0.0,0.0,0.0,8492,1026,596,157,49,23
3,1.4340629684733681,4.014972756512548,0.8365806393347042,0.5255825089231111,0.0,0.0,0.0,0.0,8503,1016,595,159,48,22
4,0.8829202189159275,1.5401066531164105,0.6459103693875278,0.31986635695718735,0.0,0.0,0.0,0.0,8320,1198,596,158,50,21
5,0.8961437291589559,1.3968368429070348,0.5840923389711189,0.26918576124295823,0.0,0.0,0.0,0.0,8498,1021,595,160,48,21
6,1.1438726233475387,1.9529692719097018,0.6625860737609224,-0.3692932106341087,0.0,0.0,0.0,0.0,8482,1037,595,157,50,22
7,0.9628030558694983,1.8998671625328898,0.6886386546033162,0.3947091366498434,0.0,0.0,0.0,0.0,8492,1027,595,156,49,24
8,0.5921377543096532,0.6427941201524914,0.8311081062941994,0.6423297215432422,0.0,0.0,0.0,0.0,8430,1089,595,156,49,24
9,0.7691484900225347,1.1107968876991592,0.64329452764989,0.41423294070587957,0.0,0.0,0.0,0.0,8364,1155,595,155,50,24
Overall Mean,0.9615114597442023,1.7525753569862157,0.6496769563788954,0.2860128294546166
Overall Std,0.21537933902844233,0.8564613676325088,0.11901485455628083,0.26341139434923583
