fold,mae_mean,mse_mean,spearman_mean,r2_mean,mae_std,mse_std,spearman_std,r2_std,train_len,val_len,test_len,train_labels,val_labels,test_labels
0,0.8894186870123022,1.1902251476398509,0.6809715555002124,0.30230297248908833,0.0,0.0,0.0,0.0,8490,1028,596,157,49,23
1,0.8239476828291767,1.064907762748111,0.6862123799875932,0.5214411227326758,0.0,0.0,0.0,0.0,8414,1104,596,158,48,23
2,1.478236389733008,3.9347517300823203,0.45213822256842473,-0.5966458498576686,0.0,0.0,0.0,0.0,8492,1026,596,157,49,23
3,1.6585706203484694,5.155958199816795,0.7335923759101437,0.3907613073372166,0.0,0.0,0.0,0.0,8503,1016,595,159,48,22
4,0.9821655698726918,1.805540713575121,0.5140333808470413,0.20264679027190324,0.0,0.0,0.0,0.0,8320,1198,596,158,50,21
5,0.9481258338328938,1.5195917028250112,0.5533746988335746,0.2049613674204266,0.0,0.0,0.0,0.0,8498,1021,595,160,48,21
6,0.9560383107054202,1.6069127730381751,0.5710428257849158,-0.12666122393764767,0.0,0.0,0.0,0.0,8482,1037,595,157,50,22
7,1.032082969636142,2.0923602362296583,0.6557893737372619,0.33338153382338775,0.0,0.0,0.0,0.0,8492,1027,595,156,49,24
8,0.6372020801427468,0.7720962692385355,0.8253053813605399,0.5703820570909116,0.0,0.0,0.0,0.0,8430,1089,595,156,49,24
9,0.8009411168217719,1.302834661671114,0.6480754510522674,0.31296383977605513,0.0,0.0,0.0,0.0,8364,1155,595,155,50,24
Overall Mean,1.0206729260934622,2.044517919686469,0.6320535645581974,0.2115533917146349
Overall Std,0.2964105203238221,1.3281224482815004,0.104887368030088,0.3252635052079883
0,0.8912727474621037,1.1846605679254059,0.6751663703478799,0.30556486855456333,0.0,0.0,0.0,0.0,8490,1028,596,157,49,23
1,0.8260493635717489,1.0245628510085794,0.7074113778534116,0.5395717217769487,0.0,0.0,0.0,0.0,8414,1104,596,158,48,23
2,1.4463443247936798,3.8020000705549704,0.4681933563177246,-0.5427778040987492,0.0,0.0,0.0,0.0,8492,1026,596,157,49,23
3,1.6869680550340467,5.390429462504364,0.7402083231012191,0.3630556976307915,0.0,0.0,0.0,0.0,8503,1016,595,159,48,22
4,0.916604220938869,1.741666274262164,0.563141906724725,0.23085467770575785,0.0,0.0,0.0,0.0,8320,1198,596,158,50,21
5,0.9552738398899803,1.568218480813419,0.5377934197539036,0.17952021305851307,0.0,0.0,0.0,0.0,8498,1021,595,160,48,21
6,0.8620449383047233,1.3127428674894766,0.6150988916463628,0.07959130662409997,0.0,0.0,0.0,0.0,8482,1037,595,157,50,22
7,0.9652392722264084,1.9203377742292302,0.6953912045437548,0.3881872731894188,0.0,0.0,0.0,0.0,8492,1027,595,156,49,24
8,0.5540167294655151,0.6330951610400122,0.8631047684351985,0.6477265185856269,0.0,0.0,0.0,0.0,8430,1089,595,156,49,24
9,0.7254440680985453,1.0750556227560868,0.7081196866879844,0.4330807209733606,0.0,0.0,0.0,0.0,8364,1155,595,155,50,24
Overall Mean,0.982925755978562,1.9652769132583707,0.6573629305412165,0.2624375194000331
Overall Std,0.31840080655158415,1.4072031217429373,0.10806623729381358,0.31174417046378833
