fold,mae_mean,mse_mean,spearman_mean,r2_mean,mae_std,mse_std,spearman_std,r2_std,train_len,val_len,test_len,train_labels,val_labels,test_labels
0,1.0060351580564704,1.803643130019442,0.5050882950550535,0.10904416319097596,0.024873691842718544,0.09050016480671098,0.030089086919346884,0.044704880208674386,8491,1027,596,153,50,21
1,1.1268869864903714,1.8681850366785415,0.35213072134895645,-0.21695853503186227,0.0801972343383507,0.25111228193795404,0.08851124904798045,0.16357760540628072,8491,1027,596,155,48,21
2,0.8505457316574289,1.3722286606242025,0.5209519340251504,0.16542588773501313,0.0440070528145347,0.09189575530185222,0.047881684000345606,0.055889969800716095,8502,1016,596,154,49,21
3,1.3989232832217158,3.7802862983823267,0.844245562016224,0.5639794984905888,0.14960673525502485,0.8692809322399788,0.026963046103331115,0.10026338697945643,8503,1015,596,155,48,21
4,1.1273064865422442,2.02462095609783,0.5672765944029837,-0.21317982816951436,0.13013732925791488,0.41657369331233396,0.06054770730778515,0.24961650236330823,8343,1176,595,154,49,21
5,1.101673158715107,2.2344106333381637,0.6589095547800939,0.01539664242011778,0.08688462233010152,0.33575713969319587,0.02708403347949145,0.1479529331542104,8502,1017,595,154,48,22
6,0.9290747422571158,1.3760069015259555,0.5626071797893369,0.2586635921396834,0.04750172771336354,0.10114974654770334,0.0350741796581579,0.05449535876491488,8501,1018,595,153,48,23
7,0.9977164646651436,1.5202022572133467,0.6533445712082069,0.19091203587919442,0.09383401972498503,0.25556847612113426,0.041257153290981806,0.1360196493967486,8337,1182,595,149,51,24
8,0.9849613858628748,1.7908123082461767,0.7039813032735026,0.4091451862670725,0.0700532582931785,0.2074800126295258,0.05629558265802206,0.06845528347724081,8482,1037,595,150,50,24
9,1.0567031498845318,2.201196323126005,0.46593967235127864,0.1810191848071561,0.031128220538523425,0.14534131640028947,0.038774367454843486,0.054075935224927374,8459,1060,595,148,52,24
Overall Mean,1.0579826547353004,1.9971592505251992,0.5834475388250786,0.14634478277284255
Overall Std,0.14107253409306905,0.6617200248871146,0.13083629798444568,0.23225782308538184
