fold,mae_mean,mse_mean,spearman_mean,r2_mean,mae_std,mse_std,spearman_std,r2_std,train_len,val_len,test_len,train_labels,val_labels,test_labels
0,0.9402095256895537,1.461117354191329,0.49647194865417665,0.1435089093140531,0.04840488867418368,0.10039721915711161,0.033581131573012,0.05885175717819208,8490,1028,596,157,49,23
1,0.9737283801297594,1.5465595204085214,0.5904575083354403,0.3049916494139988,0.057805678347230424,0.2070128357158081,0.053699754281212195,0.0930294939201371,8414,1104,596,158,48,23
2,1.118387943726408,2.438281646258561,0.5744628082273453,0.01059265276658079,0.11700684944123635,0.46017296931674406,0.07494067177204942,0.18672925563740408,8492,1026,596,157,49,23
3,1.5570544872572516,3.978522334857774,0.6750982080247143,0.5298895661907109,0.1284641885544929,0.6660648960409802,0.047808608105336534,0.07870360673346777,8503,1016,595,159,48,22
4,1.2277340269172492,2.5523222508360552,0.46118896461361414,-0.12714286842909076,0.16076216203616023,0.45736431043968256,0.10358169914250895,0.2019787746696999,8320,1198,596,158,50,21
5,1.0119761859235017,1.8233944988957709,0.5536791168250021,0.04601409289074865,0.043347811174013734,0.18162670855679225,0.031614213145462644,0.09502568995505314,8498,1021,595,160,48,21
6,0.8337430498147944,1.3778427515903484,0.6966364861729739,0.03394756271346215,0.054444998109734424,0.19689557001131597,0.026479027479573532,0.13805018394211244,8482,1037,595,157,50,22
7,0.9690907617707472,1.7948576540276993,0.6909237395623917,0.4281647894010299,0.07073439690294818,0.13880071791241713,0.04647470280933662,0.044221410862652424,8492,1027,595,156,49,24
8,0.9055743878360893,1.30102292877377,0.6194658277283043,0.2760711110693611,0.03181542172875499,0.10534844629058032,0.0491135337824963,0.05861909270545246,8430,1089,595,156,49,24
9,0.8810159553297512,1.4797253847769787,0.6174568454405662,0.21968237685734046,0.04666579230613883,0.14070346697944547,0.036350640193763474,0.07419849389005409,8364,1155,595,155,50,24
Overall Mean,1.0418514704395105,1.9753646324616807,0.597584145358453,0.18657198421881954
Overall Std,0.20365446710033866,0.782383678837987,0.07533005149288198,0.19330146188387448
