fold,mae_mean,mse_mean,spearman_mean,r2_mean,mae_std,mse_std,spearman_std,r2_std,train_len,val_len,test_len,train_labels,val_labels,test_labels
0,0.7868703893379145,1.0438960247954068,0.6479959742263851,0.38807951170042426,0.013201873936310275,0.03198223794215601,0.011946592888774416,0.018747639797088968,8490,1028,596,157,49,23
1,0.85937515001885,1.20564984184846,0.6500934507359318,0.45819304274430267,0.043572872354226605,0.09573363526899241,0.026152999822304006,0.043021736354724296,8414,1104,596,158,48,23
2,0.8543424631540786,1.5622202317273068,0.7416687253846577,0.3660813640460855,0.01735841457479166,0.05657782935958303,0.019257608820934687,0.022958184566080276,8492,1026,596,157,49,23
3,1.4909303860675438,3.777690504071182,0.7155524914699996,0.5536202709970152,0.05819773538544048,0.3106440732357321,0.028451464886000425,0.036706346662838334,8503,1016,595,159,48,22
4,1.008365591977533,1.8078143031189895,0.5873335959942705,0.2016427398471312,0.028210629333912336,0.08298700851081095,0.017999108405690113,0.03664827777314749,8320,1198,596,158,50,21
5,0.8956089788165844,1.3478398900615889,0.602352468753806,0.2948205882286483,0.013272221701575588,0.0424712358309939,0.009444268575336055,0.02222062228706858,8498,1021,595,160,48,21
6,0.8062215107488558,1.2363393842519272,0.7305467514639314,0.13316038851941941,0.02913045189332925,0.08020205804038609,0.009555942555950969,0.05623239194449604,8482,1037,595,157,50,22
7,0.8852310626958163,1.6321511568817244,0.7369586177112732,0.4800024957798631,0.01519503956532348,0.0324205747951429,0.006645236725757814,0.010329078840384786,8492,1027,595,156,49,24
8,0.850445248916469,1.1394440941445636,0.6374567412013488,0.36597850904125995,0.01968321025167966,0.04638649876988146,0.015490902189203836,0.025810864492229,8430,1089,595,156,49,24
9,0.7278360013306611,1.030996023699832,0.6978167430229526,0.45631508727260267,0.005967152325250564,0.026290692345022168,0.007846082009925854,0.013864120175605826,8364,1155,595,155,50,24
Overall Mean,0.9165226783064307,1.578404145460098,0.6747775559964556,0.3697893998176752
Overall Std,0.20392965822775855,0.7732913180021972,0.0540885906984695,0.12308221884624904
