fold,mae_mean,mse_mean,spearman_mean,r2_mean,mae_std,mse_std,spearman_std,r2_std,train_len,val_len,test_len,train_labels,val_labels,test_labels
0,0.8703602134831042,1.3319039102612622,0.5470165550195641,0.2192524238274386,0.0,0.0,0.0,0.0,8490,1028,596,157,49,23
1,0.8869241020124827,1.2873292853002003,0.6751003286650433,0.4214871193568981,0.0,0.0,0.0,0.0,8414,1104,596,158,48,23
2,1.1418927275678403,2.4076176409446863,0.6164332326650133,0.023035510711111762,0.0,0.0,0.0,0.0,8492,1026,596,157,49,23
3,1.7487945008287316,4.823495586744691,0.6086217326013791,0.43004577782700804,0.0,0.0,0.0,0.0,8503,1016,595,159,48,22
4,1.3197051591032956,2.722931954063244,0.41513843893909913,-0.2024866108637844,0.0,0.0,0.0,0.0,8320,1198,596,158,50,21
5,1.0854864683182028,2.0946630906255077,0.5457517116713376,-0.09591153741484915,0.0,0.0,0.0,0.0,8498,1021,595,160,48,21
6,0.8450401522990161,1.3488448773383739,0.7163274961054475,0.05427895906831803,0.0,0.0,0.0,0.0,8482,1037,595,157,50,22
7,1.0829483336957335,2.0037822186490595,0.6049408460722114,0.361602172504108,0.0,0.0,0.0,0.0,8492,1027,595,156,49,24
8,0.8873764576722646,1.1708216123307653,0.5887350534908582,0.3485190996983768,0.0,0.0,0.0,0.0,8430,1089,595,156,49,24
9,0.9617490914701602,1.734619228237481,0.5687674145944351,0.08526678858061842,0.0,0.0,0.0,0.0,8364,1155,595,155,50,24
Overall Mean,1.0830277206450831,2.092600940449527,0.5886832809824389,0.16450897032952444
Overall Std,0.2638262419437535,1.0353914633146002,0.07699776242771283,0.21288475402545126
