fold,mae_mean,mse_mean,spearman_mean,r2_mean,mae_std,mse_std,spearman_std,r2_std,train_len,val_len,test_len,train_labels,val_labels,test_labels
0,0.7727699567559333,0.9840392203663998,0.6678193976516573,0.4231669189941045,0.0,0.0,0.0,0.0,8490,1028,596,157,49,23
1,0.8681570141938829,1.2180141703366962,0.65152661246318,0.4526366374231272,0.0,0.0,0.0,0.0,8414,1104,596,158,48,23
2,0.8400351368094572,1.5041724035289783,0.7654589889039859,0.38963604559753706,0.0,0.0,0.0,0.0,8492,1026,596,157,49,23
3,1.3833183420529034,3.267399262294594,0.7594316159541604,0.6139173403231946,0.0,0.0,0.0,0.0,8503,1016,595,159,48,22
4,1.0371614883419207,1.8947336813022473,0.569588184290895,0.16325787006219017,0.0,0.0,0.0,0.0,8320,1198,596,158,50,21
5,0.8875561099575268,1.300579147536126,0.6105808620417996,0.3195470433957085,0.0,0.0,0.0,0.0,8498,1021,595,160,48,21
6,0.7962008610915375,1.2099678854385316,0.7341941015474526,0.15165034368605534,0.0,0.0,0.0,0.0,8482,1037,595,157,50,22
7,0.9010593660082008,1.6901037077084093,0.7328374248035272,0.4615390209564644,0.0,0.0,0.0,0.0,8492,1027,595,156,49,24
8,0.8134378325942817,1.0504588886837098,0.6578369261934661,0.4154925948393142,0.0,0.0,0.0,0.0,8430,1089,595,156,49,24
9,0.735514514837451,1.0639130706250022,0.6857435306280133,0.43895662868172336,0.0,0.0,0.0,0.0,8364,1155,595,155,50,24
Overall Mean,0.9035210622643095,1.5183381437820695,0.6835017644478139,0.3829800443959419
Overall Std,0.17848301792317509,0.6460794567107442,0.0614099890706433,0.13267265336442025
